Type,Class,Name,March,April,May,June,July,August
Mercenary,,GhoulRI Horn,0,0,0,0,1,0
Mercenary,,The Spirit Shroud,0,0,0,0,1,0
Mercenary,,Wraith Flight,0,0,0,0,1,0
Mercenary,,Skullder's Ire,0,0,0,0,1,0
Mercenary,,Breast Plate,0,0,0,0,1,0
Mercenary,,Isenhart's Lightbrand,0,0,0,0,1,0
Mercenary,,Large Shield,0,0,0,0,1,0
Mercenary,,Bardiche,0,0,0,0,1,0
Mercenary,,Iceblink,0,0,0,0,1,0
Mercenary,,Strong Bone Helm of Radiance,0,0,0,0,1,0
Mercenary,,PlagueRI Shell,0,0,0,0,1,0
Mercenary,,Blood Barb,0,0,0,0,1,0
Mercenary Runeword,,Treachery,0,0,0,0,250,251
Mercenary Unique,,Vampire Gaze,0,0,0,0,159,159
Mercenary Runeword,,Insight,0,0,0,0,230,231
Mercenary Unique,,Steel Shade,0,0,0,0,282,281
Mercenary Runeword,,Doom,0,0,0,0,21,21
Mercenary Set,,Tal Rasha's Horadric Crest,0,0,0,0,253,251
Mercenary Runeword,,Harmony,0,0,0,0,42,42
Mercenary Unique,,Shaftstop,0,0,0,0,147,148
Mercenary Runeword,,Infinity,0,0,0,0,348,346
Mercenary Unique,,The Gladiator's Bane,0,0,0,0,87,87
Mercenary Unique,,The Reaper's Toll,0,0,0,0,96,97
Mercenary Unique,,Andariel's Visage,0,0,0,0,164,166
Mercenary Runeword,,Fortitude,0,0,0,0,233,232
Mercenary Unique,,Blackhorn's Face,0,0,0,0,8,8
Mercenary Unique,,Guardian Angel,0,0,0,0,34,34
Mercenary Unique,,Kira's Guardian,0,0,0,0,15,15
Mercenary Runeword,,Lawbringer,0,0,0,0,86,86
Mercenary Runeword,,Plague,0,0,0,0,32,32
Mercenary Runeword,,Phoenix,0,0,0,0,8,8
Mercenary Runeword,,Hustle,0,0,0,0,9,9
Mercenary Runeword,,Silence,0,0,0,0,44,44
Mercenary Unique,,Griffon's Eye,0,0,0,0,2,2
Mercenary Unique,,Skin of the Vipermagi,0,0,0,0,11,11
Mercenary Unique,,Azurewrath,0,0,0,0,7,7
Mercenary Runeword,,Spirit,0,0,0,0,32,32
Mercenary Unique,,Black Hades,0,0,0,0,8,8
Mercenary Unique,,Leviathan,0,0,0,0,67,67
Mercenary Set,,Sazabi's Mental Sheath,0,0,0,0,3,3
Mercenary Unique,,Bonehew,0,0,0,0,12,12
Mercenary Runeword,,Breath of the Dying,0,0,0,0,7,9
Mercenary Set,,Naj's Light Plate,0,0,0,0,14,14
Mercenary Unique,,Stormshield,0,0,0,0,21,21
Mercenary Unique,,Culwen's Point,0,0,0,0,4(+1),4(+1)
Mercenary Unique,,Gerke's Sanctuary,0,0,0,0,7,7
Mercenary Unique,,Duriel's Shell,0,0,0,0,90,90
Mercenary Runeword,,Faith,0,0,0,0,6,6
Mercenary Runeword,,Bulwark,0,0,0,0,11,10
Mercenary Unique,,Crown of Ages,0,0,0,0,19,19
Mercenary Unique,,Harlequin Crest,0,0,0,0,9,9
Mercenary Unique,,Tyrael's Might,0,0,0,0,2,2
Mercenary Unique,,Arkaine's Valor,0,0,0,0,6,6
Mercenary Runeword,,Pride,0,0,0,0,7,8
Mercenary Unique,,The Ward,0,0,0,0,4,4
Mercenary Unique,,Crown of Thieves,0,0,0,0,45,46
Mercenary Unique,,The Grandfather,0,0,0,0,14,14
Mercenary Runeword,,Hearth,0,0,0,0,4,4
Mercenary Unique,,Twitchthroe,0,0,0,0,4,4
Mercenary Unique,,Buriza-Do Kyanon,0,0,0,0,7(+1),7(+1)
Mercenary Set,,Guillaume's Face,0,0,0,0,21,21
Mercenary Runeword,,Last Wish,0,0,0,0,3,3
Mercenary Unique,,Steel Carapace,0,0,0,0,9,9
Mercenary Runeword,,Obedience,0,0,0,0,43,43
Mercenary Runeword,,Dream,0,0,0,0,6,6
Mercenary Unique,,Skin of the Flayed One,0,0,0,0,9,9
Mercenary Runeword,,Crescent Moon,0,0,0,0,1,1
Mercenary Runeword,,Chains of Honor,0,0,0,0,6,6
Mercenary Unique,,Tiamat's Rebuke,0,0,0,0,1,1
Mercenary Runeword,,Smoke,0,0,0,0,20,20
Mercenary Unique,,Dimoak's Hew,0,0,0,0,1,1
Mercenary Unique,,Templar's Might,0,0,0,0,1,1
Mercenary Set,,Natalya's Totem,0,0,0,0,9,9
Mercenary Unique,,Flamebellow,0,0,0,0,2,2
Mercenary Unique,,Corpsemourn,0,0,0,0,3,3
Mercenary Runeword,,Duress,0,0,0,0,6,6
Mercenary Runeword,,Enigma,0,0,0,0,1,1
Mercenary Unique,,Windforce,0,0,0,0,1,1
Mercenary Runeword,,Grief,0,0,0,0,1,1
Mercenary Runeword,,Oath,0,0,0,0,2,2
Mercenary Unique,,Headstriker,0,0,0,0,4,4
Mercenary Unique,,Giant Skull,0,0,0,0,7,7
Mercenary Set,,Hwanin's Splendor,0,0,0,0,3,3
Mercenary Runeword,,Unbending Will,0,0,0,0,4,4
Mercenary Unique,,Duskdeep,0,0,0,0,5,5
Mercenary Unique,,Arreat's Face,0,0,0,0,11,11
Mercenary Set,,Sigon's Guard,0,0,0,0,3,3
Mercenary Unique,,Arioc's Needle,0,0,0,0,2(+1),2(+1)
Mercenary Set,,Ondal's Almighty,0,0,0,0,1,1
Mercenary Set,,Tal Rasha's Guardianship,0,0,0,0,5,5
Mercenary Unique,,Stealskull,0,0,0,0,15,15
Mercenary Runeword,,Passion,0,0,0,0,1,1
Mercenary Unique,,Rockfleece,0,0,0,0,6,6
Mercenary Set,,Griswold's Valor,0,0,0,0,1,1
Mercenary Runeword,,Stone,0,0,0,0,9,9
Mercenary Unique,,Tomb Reaver,0,0,0,0,20,20
Mercenary Unique,,Lidless Wall,0,0,0,0,2,2
Mercenary Unique,,Veil of Steel,0,0,0,0,6,6
Mercenary Unique,,Silks of the Victor,0,0,0,0,2,2
Mercenary Runeword,,Gloom,0,0,0,0,2,2
Mercenary Runeword,,Destruction,0,0,0,0,1,1
Mercenary Unique,,Toothrow,0,0,0,0,4,4
Mercenary Unique,,Blade of Ali Baba,0,0,0,0,0(+2),0(+2)
Mercenary Set,,Sazabi's Ghost Liberator,0,0,0,0,1,1
Mercenary Set,,Sazabi's Cobalt Redeemer,0,0,0,0,1,1
Mercenary Set,,M'avina's True Sight,0,0,0,0,2,2
Mercenary Runeword,,2693,0,0,0,0,1,1
Mercenary Unique,,Blackoak Shield,0,0,0,0,2,2
Mercenary Runeword,,Bramble,0,0,0,0,3,3
Mercenary Set,,Arctic Furs,0,0,0,0,1,1
Mercenary Set,,Arctic Horn,0,0,0,0,1,1
Mercenary Runeword,,Prudence,0,0,0,0,1,1
Mercenary Unique,,Pus Spitter,0,0,0,0,1,1
Mercenary Runeword,,Edge,0,0,0,0,1,1
Mercenary Unique,,Bloodletter,0,0,0,0,0(+1),0(+1)
Mercenary Unique,,Plague Bearer,0,0,0,0,2,2
Mercenary Unique,,Moser's Blessed Circle,0,0,0,0,2,2
Mercenary Set,,Isenhart's Horns,0,0,0,0,2,2
Mercenary Unique,,Razortine,0,0,0,0,1,1
Mercenary Runeword,,Lionheart,0,0,0,0,6,6
Mercenary Unique,,Rattlecage,0,0,0,0,3,3
Mercenary Unique,,Rockstopper,0,0,0,0,7,7
Mercenary Set,,Naj's Circlet,0,0,0,0,5,5
Mercenary Unique,,Swordguard,0,0,0,0,0(+2),0(+2)
Mercenary Unique,,Darkglow,0,0,0,0,3,3
Mercenary Set,,Cathan's Visage,0,0,0,0,1,1
Mercenary Unique,,Undead Crown,0,0,0,0,2,3
Mercenary Unique,,Atma's Wail,0,0,0,0,2,4
Mercenary Set,,Trang-Oul's Scales,0,0,0,0,2,2
Mercenary Unique,,Goldskin,0,0,0,0,7,7
Mercenary Unique,,Iron Pelt,0,0,0,0,1,1
Mercenary Unique,,Steel Pillar,0,0,0,0,1,1
Mercenary Set,,Immortal King's Soul Cage,0,0,0,0,1,1
Mercenary Unique,,Viperfork,0,0,0,0,3,3
Mercenary Set,,Griswold's Heart,0,0,0,0,7,7
Mercenary Runeword,,Lore,0,0,0,0,1,1
Mercenary Unique,,Todesfaelle Flamme,0,0,0,0,4,4
Mercenary Unique,,Spirit Forge,0,0,0,0,2,2
Mercenary Unique,,Lightsabre,0,0,0,0,3,3
Mercenary Unique,,Blackleach Blade,0,0,0,0,1,1
Mercenary Set,,Dark Adherent,0,0,0,0,1,1
Mercenary Unique,,Darksight Helm,0,0,0,0,2,2
Mercenary Unique,,The Meat Scraper,0,0,0,0,1,1
Mercenary Unique,,Boneflesh,0,0,0,0,1,1
Mercenary Unique,,Athena's Wrath,0,0,0,0,0(+1),0(+1)
Mercenary Unique,,Wormskull,0,0,0,0,3,4
Mercenary Runeword,,Stealth,0,0,0,0,5,5
Mercenary Unique,,Heavenly Garb,0,0,0,0,2,2
Mercenary Set,,Isenhart's Case,0,0,0,0,1,1
Mercenary Set,,Berserker's Headgear,0,0,0,0,1,1
Mercenary Unique,,Nightwing's Veil,0,0,0,0,1,1
Mercenary Unique,,Lance of Yaggai,0,0,0,0,1,1
Mercenary Runeword,,Ice,0,0,0,0,1,0
Mercenary Unique,,Bing Sz Wang,0,0,0,0,3,3
Mercenary Set,,Infernal Cranium,0,0,0,0,1,1
Mercenary Unique,,Pelta Lunata,0,0,0,0,1,1
Mercenary Set,,Natalya's Shadow,0,0,0,0,2,2
Mercenary Unique,,Spike Thorn,0,0,0,0,1,1
Mercenary Unique,,Bloodthief,0,0,0,0,1,1
Mercenary Unique,,Howltusk,0,0,0,0,2,2
Mercenary Set,,Cleglaw's Tooth,0,0,0,0,1,1
Mercenary Unique,,The Vile Husk,0,0,0,0,2,2
Mercenary Unique,,Bloodmoon,0,0,0,0,1,1
Mercenary Set,,Haemosu's Adamant,0,0,0,0,2,2
Mercenary Set,,Sigon's Visor,0,0,0,0,1,1
Mercenary Unique,,Demonhorn's Edge,0,0,0,0,1,1
Mercenary Unique,,Que-Hegan's Wisdom,0,0,0,0,2,2
Mercenary Set,,Bul-Kathos' Sacred Charge,0,0,0,0,1,1
Mercenary Set,,Tancred's Skull,0,0,0,0,1,1
Mercenary Runeword,,Rhyme,0,0,0,0,1,1
Mercenary Runeword,,Ancients' Pledge,0,0,0,0,1,1
Mercenary Unique,,Peasant Crown,0,0,0,0,2,2
Mercenary Unique,,Hellrack,0,0,0,0,1,1
Mercenary Unique,,Hexfire,0,0,0,0,1,1
Mercenary Set,,Bul-Kathos' Tribal Guardian,0,0,0,0,1,1
Mercenary Unique,,Blinkbat's Form,0,0,0,0,1,1
Mercenary Unique,,Biggin's Bonnet,0,0,0,0,1,1
Mercenary Unique,,Steelgoad,0,0,0,0,1,1
Mercenary Runeword,,Honor,0,0,0,0,2,2
Mercenary Set,,M'avina's Embrace,0,0,0,0,1,1
Mercenary Unique,,Hone Sundan,0,0,0,0,1,2
Mercenary Unique,,The Spirit Shroud,0,0,0,0,1,1
Mercenary Unique,,Wraith Flight,0,0,0,0,1,1
Mercenary Unique,,Skullder's Ire,0,0,0,0,1,1
Mercenary Set,,Isenhart's Lightbrand,0,0,0,0,1,1
Mercenary Unique,,Iceblink,0,0,0,0,1,1
Mercenary Unique,,Doombringer,0,0,0,0,1,1
Mercenary Unique,,Tarnhelm,0,0,0,0,1,0
Mercenary Runeword,,Radiance,0,0,0,0,1,1
Mercenary Runeword,,Death,0,0,0,0,1,1
Mercenary Unique,,Husoldal Evo,0,0,0,0,0(+1),0
